"region","year","sex","country","number"
"AT13","2016","MALE","ECU",143
"AT13","2016","MALE","GTM",100
"AT13","2016","MALE","HND",14
"AT13","2016","MALE","HTI",19
"AT13","2016","MALE","MEX",368
"AT13","2016","MALE","NIC",42
"AT13","2016","MALE","PAN",9
"AT13","2016","MALE","PER",310
"AT13","2016","MALE","PRY",35
"AT13","2016","MALE","SLV",21
"AT13","2016","MALE","URY",66
"AT13","2016","MALE","VEN",204
"AT13","2016","FEMALE","ARG",354
"AT13","2016","FEMALE","BOL",150
"AT13","2016","FEMALE","BRA",1095
"AT13","2016","FEMALE","CHL",385
"AT13","2016","FEMALE","COL",566
"AT13","2016","FEMALE","CRI",42
"AT13","2016","FEMALE","CUB",268
"AT13","2016","FEMALE","DOM",354
"AT13","2016","FEMALE","ECU",201
"AT13","2016","FEMALE","GTM",70
"AT13","2016","FEMALE","HND",24
"AT13","2016","FEMALE","HTI",25
"AT13","2016","FEMALE","MEX",459
"AT13","2016","FEMALE","NIC",62
"AT13","2016","FEMALE","PAN",12
"AT13","2016","FEMALE","PER",577
"AT13","2016","FEMALE","PRY",59
"AT13","2016","FEMALE","SLV",36
"AT13","2016","FEMALE","URY",72
"AT13","2016","FEMALE","VEN",294
"AT13","2017","MALE","ARG",395
"AT13","2017","MALE","BOL",118
"AT13","2017","MALE","BRA",740
"AT13","2017","MALE","CHL",358
"AT13","2017","MALE","COL",490
"AT13","2017","MALE","CRI",36
"AT13","2017","MALE","CUB",177
"AT13","2017","MALE","DOM",210
"AT13","2017","MALE","ECU",158
"AT13","2017","MALE","GTM",94
"AT13","2017","MALE","HND",19
"AT13","2017","MALE","HTI",21
"AT13","2017","MALE","MEX",400
"AT13","2017","MALE","NIC",42
"AT13","2017","MALE","PAN",12
"AT13","2017","MALE","PER",336
"AT13","2017","MALE","PRY",36
"AT13","2017","MALE","SLV",25
"AT13","2017","MALE","URY",69
"AT13","2017","MALE","VEN",240
"AT13","2017","FEMALE","ARG",352
"AT13","2017","FEMALE","BOL",149
"AT13","2017","FEMALE","BRA",1156
"AT13","2017","FEMALE","CHL",379
"AT13","2017","FEMALE","COL",582
"AT13","2017","FEMALE","CRI",45
"AT13","2017","FEMALE","CUB",271
"AT13","2017","FEMALE","DOM",361
"AT13","2017","FEMALE","ECU",205
"AT13","2017","FEMALE","GTM",66
"AT13","2017","FEMALE","HND",28
"AT13","2017","FEMALE","HTI",24
"AT13","2017","FEMALE","MEX",499
"AT13","2017","FEMALE","NIC",63
"AT13","2017","FEMALE","PAN",12
"AT13","2017","FEMALE","PER",584
"AT13","2017","FEMALE","PRY",61
"AT13","2017","FEMALE","SLV",39
"AT13","2017","FEMALE","URY",73
"AT13","2017","FEMALE","VEN",320
"AT13","2018","MALE","ARG",392
"AT13","2018","MALE","BOL",126
"AT13","2018","MALE","BRA",807
"AT13","2018","MALE","CHL",375
"AT13","2018","MALE","COL",503
"AT13","2018","MALE","CRI",40
"AT13","2018","MALE","CUB",199
"AT13","2018","MALE","DOM",229
"AT13","2018","MALE","ECU",169
"AT13","2018","MALE","GTM",100
"AT13","2018","MALE","HND",17
"AT13","2018","MALE","HTI",22
"AT13","2018","MALE","MEX",417
"AT13","2018","MALE","NIC",48
"AT13","2018","MALE","PAN",13
"AT13","2018","MALE","PER",337
"AT13","2018","MALE","PRY",33
"AT13","2018","MALE","SLV",22
"AT13","2018","MALE","URY",72
"AT13","2018","MALE","VEN",269
"AT13","2018","FEMALE","ARG",355
"AT13","2018","FEMALE","BOL",159
"AT13","2018","FEMALE","BRA",1243
"AT13","2018","FEMALE","CHL",391
